id,product,component,reporter,bug_status,resolution,priority,bug_severity,version,short_desc,opendate,dup_list,root_id,disc_id
53,Batik -,GVT Filt,vincent.hardy,RESO,FIXE,P1,nor,1.0 B,Implement static LUT for Identity in Identity Transfer,1/22/2001,,,
54,Batik -,GVT Filt,vincent.hardy,RESO,FIXE,P1,nor,1.0 B,feOffset dx/dy bug,1/22/2001,,,
55,Batik -,GVT Filt,vincent.hardy,RESO,FIXE,P1,nor,1.0 B,CompositeContext optimization,1/22/2001,,,
56,Batik -,SVGGraph,vincent.hardy,RESO,WONT,P1,nor,1.0 B,Fix precision handling in SVGGraphics2D,1/22/2001,,,
57,Batik -,Web Site,vincent.hardy,RESO,FIXE,P1,nor,1.0 B,Move to stylebook 2,1/22/2001,,,
58,Batik -,Bridge,vincent.hardy,CLOS,FIXE,P1,nor,1.0 B,Gradient stops error handling,1/22/2001,,,
59,Batik -,SVGGraph,vincent.hardy,RESO,FIXE,P1,nor,1.0 B,Add Base64ImageHandler to SVGGraphics2D,1/22/2001,,,
60,Batik -,SVGGraph,vincent.hardy,RESO,FIXE,P1,nor,1.0 B,Add proper DOM2 API uses in SVGGraphics2D,1/22/2001,,,
61,Batik -,Test Too,vincent.hardy,RESO,FIXE,P1,nor,1.0 B,Add proper parser use in test applications,1/22/2001,,,
65,Log4j -,Other,rexmadden,RESO,FIXE,P5,min,1,XCategory example not tracing,1/24/2001,,,
66,Log4j -,Other,m.bogaert,RESO,FIXE,P5,nor,unspe,Documentation error,1/25/2001,,,
67,Tomcat 3,Servlet,tomlap,RESO,INVA,P1,blo,3.2.1,request.getInputStream() returns an empty stream(?),1/26/2001,,,
68,Batik -,GVT Filt,vincent.hardy,RESO,FIXE,P1,nor,1.0 B,Modify ConcretePatternPaint to use TileRed and no AOI hint,1/26/2001,,,
69,Tomcat 3,Unknown,craig.mcclanahan,CLOS,INVA,P1,nor,3.2.x,Test Bug,1/26/2001,,,
71,Batik -,Bridge,vincent.hardy,RESO,FIXE,P1,nor,1.0 B,Add CSS support for underline-like properties,1/26/2001,,,
72,Batik -,GVT Filt,vincent.hardy,RESO,FIXE,P1,nor,1.0 B,Final filter packages clean up,1/26/2001,,,
75,Tomcat 3,Jasper,mslinn,RESO,LATE,P3,nor,3.2.1,Translation time attribute evaluation not provided to TagExtraInfo class,1/27/2001,,,
77,Log4j -,Appender,alistair.forbes,RESO,FIXE,P3,blo,1,Endless loop if the port is in use.,1/28/2001,,,
78,Tomcat 3,Unknown,dwd,RESO,INVA,P1,nor,Unkno,HttpSessionContext BugRat Report#41,8/26/2000,,,
79,Tomcat 3,Connecto,anonymous-bug,RESO,WORK,P1,nor,3.1 F,mod_jserv missing jserv_pool BugRat Report#45,8/28/2000,,,
80,Tomcat 3,Jasper,matthias.ernst,RESO,FIXE,P1,nor,3.1 F,Jsp compilation process not concurrency safe BugRat Report#46,8/28/2000,,,
81,Tomcat 3,Unknown,geoff,RESO,FIXE,P1,nor,Unkno,Servlet API Javadoc is missing @since BugRat Report#47,8/28/2000,,,
82,Tomcat 3,Connecto,anonymous-bug,RESO,FIXE,P1,nor,3.1 F,Jasper not affected by mod_rewrite BugRat Report#49,8/29/2000,,,
83,Tomcat 3,Jasper,anonymous-bug,RESO,WONT,P1,nor,3.1 F,the init() function may be called twice BugRat Report#50,8/29/2000,[179],83,83
84,Tomcat 3,Auth,alex.den.heijer,RESO,INVA,P1,nor,3.1 F,Tomcat server won't start with strange char's in pathname BugRat Report#51,8/30/2000,,,
85,Tomcat 3,Connecto,bren,RESO,WONT,P1,nor,3.2.1,HANDLER THREAD PROBLEM: java.net.SocketException: socket closed: Bad file number BugRat Report#53,8/30/2000,,,
86,Tomcat 3,Unknown,anonymous-bug,RESO,WORK,P1,nor,3.1 F,POSTing data from HTML form to JSP page BugRat Report#55,8/31/2000,,,
87,Tomcat 3,Servlet,anonymous-bug,RESO,INVA,P1,nor,3.2.x,Request Dispatcher violates Servlet Spec BugRat Report#57,8/31/2000,,,
88,Tomcat 3,Config,anonymous-bug,RESO,FIXE,P5,enh,3.2.x,Batch files containing Unix style EOL fail to run BugRat Report#63,9/1/2000,,,
89,Tomcat 3,Connecto,jean-paul_abgrall,RESO,WONT,P1,nor,3.1 F,URLs changed by mod_rewrite are not taken into account by AjpConnectionHandler BugRat Report#64,9/1/2000,,,
90,Tomcat 3,Jasper,todd,RESO,WORK,P1,nor,3.1 F,Get Unable to compile class for JSPerror: Can't read: JasperException compiling SECOND jsp page BugRat Report#66,9/2/2000,,,
91,Tomcat 3,Servlet,Laurent.Salle,RESO,FIXE,P1,nor,3.2.1,404 response missing for a setup with no webapps/ROOT directory BugRat Report#67,9/4/2000,,,
92,Tomcat 3,Servlet,lamberto,RESO,FIXE,P1,nor,3.1 F,request.getSession() fails when followed by RequestDispatcher.include() BugRat Report#68,9/5/2000,,,
93,Tomcat 3,Jasper,anonymous-bug,RESO,WORK,P1,nor,3.2.1,"jsp:forward fail, if upper Directory is referenced BugRat Report#76",9/7/2000,,,
94,Tomcat 3,Jasper,iblesa,RESO,FIXE,P1,nor,3.2.1,ErrorPage does not work when a jsp includes another jsp that throws an exception BugRat Report#78,9/7/2000,,,
95,Ant,Core tas,anand,CLOS,WORK,P1,nor,1.2,"The ""java"" task doesn't work. BugRat Report#85",9/7/2000,,,
96,Tomcat 3,Connecto,anand,RESO,WORK,P1,nor,3.2.1,req.isSecure() returns false even for https BugRat Report#86,9/7/2000,,,
97,Tomcat 3,Auth,maxom,RESO,INVA,P1,nor,3.1.1,"If 'default servlet' defined, I can't refer to static resources (images, stylesheets) BugRat Report#87",9/8/2000,,,
98,Tomcat 3,Servlet,dev,RESO,INVA,P1,nor,3.2.1,session listener's valueUnbound not processed before removed from session BugRat Report#88,9/8/2000,,,
99,Tomcat 3,Unknown,stephen.mcgovern,RESO,INVA,P1,nor,Unkno,Tomcat reports 'out of memory error' BugRat Report#89,9/8/2000,,,
100,Tomcat 3,Connecto,anonymous-bug,RESO,INVA,P1,nor,Unkno,wild card mapping to servlet doesn't work through apache BugRat Report#94,9/8/2000,,,
101,Tomcat 3,Unknown,cwso7,RESO,INVA,P1,nor,Unkno,"BUG: in JSP, application.getRequestDispatcher always return null BugRat Report#96",9/11/2000,,,
102,Tomcat 4,Catalina,bei,RESO,FIXE,P1,nor,4.0 B,decoding of URL is never necessary BugRat Report#97,9/11/2000,,,
103,Tomcat 3,Servlet,bei,RESO,WORK,P1,nor,3.2.1,decoding of URL is never necessary BugRat Report#98,9/11/2000,[104],103,103
104,Tomcat 3,Unknown,bei,RESO,DUPL,P1,nor,Unkno,Add do not decode description to getRequestURI BugRat Report#99,9/11/2000,,103,103
105,Tomcat 3,Jasper,pvosbur,RESO,LATE,P1,nor,3.1 F,"custom tag attribute=""<%= someExpression %>""  fails - expression not evaluated BugRat Report#109",9/12/2000,,,
106,Tomcat 3,Servlet,anonymous-bug,RESO,WONT,P1,nor,3.2.1,entire org.apache.tomcat.util package locks up under load BugRat Report#110,9/12/2000,,,
107,Tomcat 3,Servlet,robin_otte,RESO,FIXE,P1,nor,3.2.1,HTTPServletRequest.getQueryString() erroneously returns null BugRat Report#112,9/13/2000,,,
108,Tomcat 3,Config,rde,RESO,FIXE,P1,nor,3.2.x,mod_jk.c sets wrong server_name BugRat Report#114,9/14/2000,,,
109,Tomcat 3,Jasper,tomcat-bugs,RESO,INVA,P1,nor,3.2.1,Not able to run demo JSP pages BugRat Report#115,9/14/2000,,,
110,Tomcat 3,Unknown,anonymous-bug,RESO,INVA,P1,nor,3.1.1,JCE 1.2.1 support is not handled correctly BugRat Report#116,9/14/2000,,,
111,Tomcat 3,Connecto,anonymous-bug,RESO,FIXE,P1,nor,Unkno,after httpd reload mod_jk fails to find a worker BugRat Report#118,9/14/2000,,,
112,Tomcat 3,Config,anonymous-bug,CLOS,LATE,P1,nor,3.2.1,TOMCAT_HOME defaults to /bin directory on Microsoft Windows BugRat Report#119,9/14/2000,,,
113,Tomcat 3,Servlet,rob,RESO,FIXE,P1,nor,3.2.1,Different servlet w.r.t. pathInfo behavior w/ & w/o Apache BugRat Report#120,9/14/2000,,,
114,Tomcat 3,Jasper,hartpj,RESO,INVA,P1,nor,3.1 F,JSP Translation problem causing inconsistent <jsp:getProperty> behaviour BugRat Report#121,9/15/2000,,,
115,Tomcat 3,Unknown,alain.zahm,RESO,WONT,P1,nor,3.1 F,"when setting the path attribute of Context directive in server.xml file to jspexamples, keeping examples in docbase, the .conf file generated automatically by tomcat put jspexamples in both alias and target in the Context directive BugRat Report#122",9/15/2000,,,
116,Tomcat 3,Connecto,pfrieden,RESO,FIXE,P1,nor,3.2 F,mod_jk Makefile.linux always redefines APACHE_HOME BugRat Report#123,9/15/2000,,,
117,Tomcat 3,Jasper,camk,RESO,FIXE,P1,nor,3.2.1,IllegalStateException when error in jsp servlet include encountered BugRat Report#124,9/15/2000,,,
118,Tomcat 3,Unknown,anonymous-bug,RESO,INVA,P1,nor,Unkno,Context Params Being put in init Params BugRat Report#125,9/15/2000,,,
119,Ant,Build Pr,st,RESO,WORK,P1,nor,unspe,Ant won't execute compile steps on OS/2 BugRat Report#126,9/16/2000,,,
120,Tomcat 3,Config,anonymous-bug,RESO,FIXE,P1,nor,3.2.x,"StopTomcat.java has ""localhost"" hardcoded BugRat Report#128",9/16/2000,,,
121,Tomcat 3,Servlet,edstrom,RESO,FIXE,P1,nor,3.2.1,fatal error in tomcat build BugRat Report#130,9/17/2000,,,
122,Tomcat 3,Config,anonymous-bug,RESO,INVA,P1,nor,3.2.x,server.xml file violates the XML namespace recommendation BugRat Report#131,9/17/2000,,,
123,Tomcat 3,Jasper,anonymous-bug,RESO,INVA,P1,nor,3.1.1,Running .jsp causes non-stop-generating a .java file until filesystem full BugRat Report#132,9/18/2000,,,
124,Tomcat 3,Config,anonymous-bug,RESO,WONT,P1,nor,3.1.1,CLASSPATH out of environment space when Tomcat starts up on Windows 95/98 BugRat Report#133,9/18/2000,,,
125,ORO,Main,jeroen,CLOS,FIXE,P1,nor,Unkno,jakarta-oro (Perl5) regexp classes: MULTILINE_MASK seems to ignore multiline ^ BugRat Report#134,9/18/2000,,,
126,Tomcat 3,Servlet,Hamer,RESO,INVA,P1,nor,3.2.1,getServletConfig() returns the servletConfig of loading subClass BugRat Report#138,9/19/2000,,,
127,Tomcat 3,Servlet,lars.jonsson,RESO,FIXE,P1,nor,3.2.1,Unable to set up servlet mapping '*.x.y' BugRat Report#140,9/20/2000,,,
128,Tomcat 4,Unknown,anonymous-bug,RESO,INVA,P1,nor,Unkno,org.exolab.slide.security=false does not disable security BugRat Report#141,9/20/2000,,,
129,Tomcat 3,Connecto,dana.ritter,RESO,WONT,P1,nor,3.1.1,Cannont disable the display of a vitural directory and all its subdirectories' contents  in a Tomcat+Apache configuration when the index.html is not present BugRat Report#142,9/20/2000,,,
130,Tomcat 3,Config,anonymous-bug,RESO,WONT,P1,nor,3.1.1,Tomcat build BugRat Report#145,9/20/2000,,,
131,Tomcat 3,Servlet,anonymous-bug,RESO,FIXE,P1,nor,3.2.1,Session.invalidate() is not work properly. BugRat Report#146,9/21/2000,,,
132,Tomcat 3,Connecto,mikael.andersson,RESO,FIXE,P1,nor,3.2.1,No workers found when trying to access jsp or servlet through mod_jk and apache BugRat Report#148,9/21/2000,,,
133,Tomcat 3,Config,aarora,RESO,WONT,P1,nor,3.1.1,Long File Name Support in installation batch files for Windows 32 BugRat Report#149,9/21/2000,,,
134,Tomcat 3,Servlet,bartlejd,RESO,FIXE,P1,nor,3.2.1,file descriptor leak in AdaptiveClassLoader BugRat Report#150,9/21/2000,[316],134,134
135,Tomcat 3,Servlet,mriehm,RESO,FIXE,P1,nor,3.2.1,Response reason not returned to client in HTTP response for JSP page BugRat Report#151,9/21/2000,,,
136,Tomcat 3,Unknown,anonymous-bug,CLOS,LATE,P1,nor,3.2 F,Infinite loop in PrefixManager.java BugRat Report#152,9/21/2000,[535],136,136
137,Tomcat 3,Unknown,anonymous-bug,RESO,FIXE,P1,nor,Unkno,tomcat.bat fails with the -f switch and no path BugRat Report#153,9/21/2000,,,
138,Tomcat 3,Unknown,anonymous-bug,RESO,FIXE,P1,nor,Unkno,attribute settings ignored in server.xml BugRat Report#155,9/21/2000,,,
139,Tomcat 3,Unknown,pgarduno,RESO,FIXE,P1,nor,Unkno,WEB.XML file is wrong but still accepted by Tomcat BugRat Report#156,9/22/2000,,,
140,Tomcat 3,Jasper,tom,RESO,FIXE,P1,nor,3.1 F,_jspx_init() handling is not thread safe BugRat Report#157,9/22/2000,,,
141,Tomcat 3,Connecto,kumar,RESO,INVA,P1,nor,3.1.1,Directory directive being ignored BugRat Report#159,9/24/2000,,,
142,Tomcat 3,Servlet,joe,RESO,WONT,P1,nor,3.1.1,Feature to forward requests using request dispatcher even if the servlet input stream is empty BugRat Report#161,9/25/2000,,,
143,Tomcat 3,Jasper,katkere,RESO,LATE,P1,nor,3.2 F,"Tag handlers with properties of type ""Object"" BugRat Report#162",9/25/2000,,,
144,Tomcat 3,Servlet,janice.champion,RESO,FIXE,P1,nor,3.2.1,JSP file names have 'null' appended to them when defined in web.xml BugRat Report#164,9/25/2000,[145],144,144
145,Tomcat 3,Config,janice.champion,RESO,DUPL,P1,nor,3.1 F,Update to JSP file names have 'null' appended to them when defined in web.xml BugRat Report#165,9/25/2000,,144,144
146,Tomcat 3,Servlet,rbeaubie,RESO,FIXE,P1,nor,3.2.1,Tomcat 3.1 uses classes from inappropriate classpath BugRat Report#170,9/27/2000,,,
147,Tomcat 3,Config,marc,RESO,INVA,P1,nor,3.2.1,MIME types no longer read from conf/web.xml BugRat Report#171,9/27/2000,[350],147,147
148,Tomcat 3,Jasper,anonymous-bug,RESO,FIXE,P1,nor,3.2.1,"<%@ include %> does not function properly, cycle detection incorrect? BugRat Report#173",9/27/2000,,,
149,Tomcat 3,Servlet,tom,RESO,LATE,P1,nor,3.2.1,Tomcat log files should be opened for append BugRat Report#174,9/27/2000,,,
150,Tomcat 3,Servlet,michaelm,RESO,FIXE,P1,nor,3.2 F,valueUnbound not getting called on server shutdown BugRat Report#175,9/27/2000,,,
151,Tomcat 3,Config,mitchelld,RESO,WONT,P1,nor,3.2.1,Auto loading jar files from the lib directory BugRat Report#178,9/28/2000,,,
152,Tomcat 3,Jasper,anonymous-bug,RESO,FIXE,P1,nor,3.2.1,invalidate method and putValue method do not cooperate BugRat Report#182,9/29/2000,,,
153,Ant,Optional,kselden,CLOS,LATE,P1,enh,unspe,Support Weblogic RMI compiler in Ant BugRat Report#183,9/29/2000,,,
154,Tomcat 3,Servlet,kientzle,RESO,FIXE,P1,nor,3.3.x,Setting Last-Modified within doGet results in duplicate Last-Modified headers BugRat Report#185,9/29/2000,,,
155,Tomcat 3,Config,rimovm,RESO,WONT,P1,nor,3.2.1,"Quick Blurb saying ""Everything is initialized"" BugRat Report#186",9/30/2000,,,
156,Tomcat 3,Servlet,mbalcom,RESO,INVA,P1,nor,3.2.1,cast exception in servletWrapper.service. BugRat Report#188,10/1/2000,,,
157,Tomcat 3,Servlet,mbalcom,RESO,FIXE,P1,nor,3.2.1,Classloader search order. BugRat Report#189,10/1/2000,,,
158,Tomcat 3,Servlet,anonymous-bug,RESO,FIXE,P1,nor,3.2.1,"Uncompilable source, Jakarta-Tomcat 3.1 BugRat Report#190",10/2/2000,,,
159,Tomcat 3,Jasper,marcm,RESO,FIXE,P1,nor,3.2.1,xml.jar or parser.jar incompatible with latest Xerces parser BugRat Report#191,10/2/2000,,,
160,Tomcat 3,Servlet,richard,RESO,FIXE,P1,nor,3.2.1,request.getRequestedSessionId() does not return session ID requested by client BugRat Report#192,10/3/2000,[1038],160,160
161,Tomcat 3,Connecto,mikeb,RESO,FIXE,P1,nor,3.2.1,POST of more than 8k of data via mod_jk gives ArrayIndexOutOfBounds BugRat Report#194,10/3/2000,,,
162,Tomcat 3,Unknown,dev,RESO,WORK,P1,nor,Unkno,Apache cannot load ApacheModuleJServ at startup BugRat Report#195,10/3/2000,,,
163,Ant,Other,dev,RESO,FIXE,P1,nor,unspe,Update archive BugRat Report#203,10/4/2000,,,
164,Tomcat 3,Connecto,beem_r,CLOS,LATE,P1,nor,3.2.1,IIS Logging BugRat Report#210,10/4/2000,,,
165,Ant,Core tas,anonymous-bug,CLOS,WORK,P1,cri,unspe,Unable to rmic (compile) inner classes using the '$' notation. BugRat Report#211,10/4/2000,,,
166,Tomcat 3,Servlet,akimoto,CLOS,LATE,P1,nor,3.2.1,conf/wrapper.properties seems to lack jar descriptions BugRat Report#217,10/5/2000,,,
167,Taglibs,Input Ta,augustd,CLOS,WONT,P1,nor,unspe,Change to input:checkbox taglib for usage on multi-page forms BugRat Report#220,10/5/2000,,,
168,Ant,Other,dev,RESO,FIXE,P1,nor,unspe,Ability to represent arguments as a hierarchy of arglist/args BugRat Report#222,10/6/2000,,,
169,Tomcat 3,Jasper,dlynes1,RESO,INVA,P1,nor,3.1.1,Overflow where JSP tag embedded in HTML tag BugRat Report#226,10/7/2000,,,
170,Tomcat 3,Unknown,dlynes1,RESO,INVA,P1,nor,Unkno,How to reproduce and Known work around doesn't get submitted BugRat Report#228,10/7/2000,,,
171,Tomcat 3,Config,nasirnoor,RESO,FIXE,P1,nor,3.1.1,Auto xfer of DocBase info from server.xml to tomcat-apache.conf is not accurate BugRat Report#229,10/8/2000,,,
172,Tomcat 3,Servlet,carfield,RESO,INVA,P1,nor,3.2.1,"Windows crash (BSOD), setting is: Tomcat 3.1 + Apache 1.3.9 + Win2k sp1 BugRat Report#230",10/9/2000,,,
173,Ant,Other,dev,RESO,FIXE,P1,nor,1.1,"ANT javadoc tag requires ""destdir"" but javadoc does not BugRat Report#235",10/9/2000,,,
174,Tomcat 3,Servlet,tigran,RESO,INVA,P1,nor,3.2.1,Apache Service fails BugRat Report#237,10/9/2000,,,
175,Tomcat 3,Servlet,ccox,RESO,FIXE,P1,nor,3.2.1,ServletExceptions lack root causes BugRat Report#238,10/9/2000,,,
176,Ant,Core tas,anonymous-bug,CLOS,FIXE,P1,enh,1.3,"Add ""exclude"" capability to Javadoc BugRat Report#243",10/10/2000,,,
177,Tomcat 3,Servlet,gwright,RESO,FIXE,P1,maj,3.2.1,Race condition during servlet initialization BugRat Report#244,10/11/2000,,,
178,Tomcat 3,Jasper,mmanion,RESO,INVA,P1,nor,3.2.1,parsing of jsp:useBean is not robust BugRat Report#245,10/11/2000,,,
179,Tomcat 3,Unknown,dev,RESO,DUPL,P1,nor,Unkno,Duplicate of bug #83 BugRat Report#248,10/12/2000,,83,83
180,Tomcat 3,Unknown,anonymous-bug,RESO,WORK,P1,nor,Unkno,redirection problem BugRat Report#249,10/12/2000,,,
181,Tomcat 3,Unknown,dev,RESO,FIXE,P1,nor,Unkno,Wrong links in JSP examples index page BugRat Report#252,10/12/2000,,,
182,Tomcat 3,Config,mikeb,RESO,FIXE,P1,nor,3.2.1,JSP error-page doesn't work with virtual hosts BugRat Report#253,10/12/2000,,,
183,Tomcat 3,Servlet,anonymous-bug,RESO,INVA,P1,nor,3.2.1,no Session create BugRat Report#256,10/12/2000,,,
184,Tomcat 3,Unknown,anonymous-bug,RESO,FIXE,P1,nor,Unkno,"when I put my jsp in many subdirectories, tomcat can't generate the .java and it violates. BugRat Report#259",10/13/2000,,,
185,Tomcat 3,Auth,dev,RESO,FIXE,P1,nor,3.2.1,Null pointer exception in jdbcRealm BugRat Report#263,10/14/2000,,,
186,Tomcat 3,Servlet,anonymous-bug,RESO,INVA,P1,nor,3.2.1,Servlet doesn't return hebrew characters BugRat Report#267,10/14/2000,,,
187,Tomcat 3,Unknown,dev,RESO,FIXE,P1,nor,Unkno,POST variables unavailable when posted from a Phone.com WAP phone BugRat Report#270,10/15/2000,,,
188,Tomcat 4,Unknown,dev,RESO,FIXE,P1,nor,Unkno,Catalina: Null pointer exception in FormAuthenticator BugRat Report#273,10/16/2000,,,
189,Tomcat 3,Jasper,tomcat-bugs,RESO,WORK,P1,nor,3.2.1,Session BugRat Report#275,10/18/2000,,,
190,Tomcat 3,Jasper,anonymous-bug,RESO,WONT,P1,nor,3.1.1,Indexed property setter does not get called if first field in array of fields is blank BugRat Report#277,10/18/2000,,,
192,Tomcat 3,Jasper,anonymous-bug,RESO,FIXE,P1,nor,3.2 F,JSP exception handling after include action BugRat Report#279,10/19/2000,,,
193,Tomcat 3,Unknown,dev,RESO,WORK,P1,nor,Unkno,Write a servlet and add it to a web app.  Map wild card with an extension to that servlet then address a file with that extension from the browser.  Going directly to tomcat will cause the servlet to invoke.  Going through Apache won't work. BugRat Rep...,10/19/2000,,,
194,Tomcat 3,Servlet,anonymous-bug,RESO,FIXE,P1,nor,3.2.1,Trailing slash in init parameter value seems to disappear BugRat Report#282,10/19/2000,,,
195,Tomcat 3,Unknown,dev,RESO,INVA,P1,nor,Unkno,nocache servlet parameter doesn't work w/no locale specified BugRat Report#283,10/20/2000,,,
196,Tomcat 3,Config,anonymous-bug,RESO,FIXE,P1,enh,3.2.1,WAR deplyment enhancement BugRat Report#290,10/20/2000,,,
198,Tomcat 3,Servlet,anonymous-bug,RESO,INVA,P1,nor,3.2.1,Exception below thrown BugRat Report#300,10/23/2000,,,
199,Tomcat 3,Jasper,clark.richey,RESO,FIXE,P1,nor,3.2.1,attempt to use attributes in taglib causes errors BugRat Report#302,10/24/2000,,,
200,Tomcat 3,Jasper,anonymous-bug,RESO,FIXE,P1,nor,3.2.1,<%@ include .... %> doesn't work BugRat Report#305,10/24/2000,,,
201,Tomcat 3,Servlet,david.dwyer,RESO,WORK,P1,nor,3.1.1,http session is invalidated too frequently. BugRat Report#310,10/26/2000,,,
202,Tomcat 3,Encoding,dev,RESO,FIXE,P1,nor,3.2.1,"If browser send russian locale (ru) then StaticInterceptor traps with a ""non ISO-8859-1"" charset exception at attempt to write buf to ServletOutputStream, the date gets cyricllic characters BugRat Report#311",10/26/2000,,,
203,Tomcat 3,Unknown,dev,CLOS,LATE,P1,nor,3.2.1,`tomcat.sh env` ruins the shell if $TOMCAT_HOME is not set BugRat Report#312,10/26/2000,,,
204,Tomcat 3,Unknown,dev,RESO,FIXE,P1,nor,3.2.1,Long time required to shutdown tomcat if more then 1 or 2 contexts configured in server.xml BugRat Report#313,10/26/2000,,,
205,Tomcat 3,Unknown,anonymous-bug,RESO,FIXE,P1,nor,Unkno,Tomcat incorrectly caches web pages.  Critical problem. BugRat Report#315,10/26/2000,,,
206,Tomcat 4,Unknown,dev,RESO,WORK,P1,nor,Unkno,doPost() not invoked just after init() BugRat Report#317,10/27/2000,,,
207,Tomcat 3,Config,markk,RESO,FIXE,P1,nor,3.2.x,mod_jk.conf-auto is not generated when tomcat is started BugRat Report#319,10/28/2000,,,
208,Tomcat 3,Connecto,anonymous-bug,RESO,FIXE,P1,nor,3.2.1,request.getRemoteHost() returns empty string when using mod_jserv BugRat Report#320,10/29/2000,,,
209,Ant,Core,bdeweese,CLOS,WONT,P1,nor,1.2,Using a ${property} in the project element for basedir no longer works BugRat Report#321,10/30/2000,,,
210,Tomcat 3,Encoding,anonymous-bug,RESO,FIXE,P1,nor,3.3.x,Problem with white spaces in URL BugRat Report#322,10/30/2000,,,
211,Tomcat 3,Servlet,rbeaubie,RESO,FIXE,P1,nor,3.2.1,Tomcat 3.1 mishandles UTF-8 encoded text above the ascii range BugRat Report#323,10/31/2000,,,
212,Tomcat 3,Unknown,anonymous-bug,RESO,INVA,P1,nor,3.2.x,Apache + Tomcat bad link handling BugRat Report#325,11/1/2000,,,
213,Tomcat 3,Webapps,seapwc,RESO,FIXE,P1,nor,3.2.1,Error on index.html BugRat Report#326,11/1/2000,,,
214,Tomcat 3,Connecto,shai,RESO,FIXE,P1,nor,3.2 F,session ID does not encode worker name in URL BugRat Report#328,11/1/2000,,,
215,Tomcat 3,Jasper,st8,RESO,WONT,P1,nor,3.2.1,.java Package names that start with a '.' BugRat Report#329,11/2/2000,,,
216,Tomcat 3,Jasper,st8,RESO,FIXE,P1,nor,3.2.1,Long .java / .class file names BugRat Report#330,11/2/2000,,,
217,Tomcat 3,Unknown,andreas,CLOS,LATE,P1,nor,3.2.1,Error when resolving java_home if java is a symbolic link BugRat Report#332,11/2/2000,,,
218,Tomcat 4,Catalina,Ozgur.Amac,RESO,INVA,P1,nor,4.0.3,IIS & in-process tomcat BugRat Report#333,11/2/2000,,,
219,Tomcat 3,Unknown,tomcat-bugs,RESO,WORK,P1,nor,Unkno,tomcat cannot recognise include file tag correctly BugRat Report#336,11/3/2000,,,
220,Ant,Core tas,anonymous-bug,RESO,FIXE,P1,enh,1.2,"Use DSTAMP, TSTAMP, TODAY values in touch BugRat Report#339",11/3/2000,,,
221,Ant,Core tas,anonymous-bug,CLOS,LATE,P1,enh,1.2,add cvs login functionality BugRat Report#340,11/3/2000,,,
222,Ant,Core tas,anonymous-bug,RESO,FIXE,P1,nor,1.2,Ant fails to verify class with static initializer code during rmic task BugRat Report#343,11/4/2000,,,
223,Tomcat 3,Auth,anton.betha,RESO,WONT,P1,nor,3.1 F,security.authentication port must be True or False BugRat Report#347,11/6/2000,,,
224,Ant,Core tas,John.Bach,CLOS,FIXE,P1,enh,1.2,RMIC needs debug generation parameter support/property BugRat Report#350,11/6/2000,,,
