id,short_desc_processed,product,component,reporter,bug_status,resolution,priority,bug_severity,version,short_desc,opendate,dup_list,root_id,disc_id
58,gradient stop error handle,Batik -,Bridge,vincent.hardy,CLOS,FIXE,P1,nor,1.0 B,Gradient stops error handling,1/22/2001,,,
59,add base image handler svg graphic,Batik -,SVGGraph,vincent.hardy,RESO,FIXE,P1,nor,1.0 B,Add Base64ImageHandler to SVGGraphics2D,1/22/2001,,,
60,add proper dom api use svg graphic,Batik -,SVGGraph,vincent.hardy,RESO,FIXE,P1,nor,1.0 B,Add proper DOM2 API uses in SVGGraphics2D,1/22/2001,,,
61,add proper parser use test application,Batik -,Test Too,vincent.hardy,RESO,FIXE,P1,nor,1.0 B,Add proper parser use in test applications,1/22/2001,,,
65,category example trace,Log4j -,Other,rexmadden,RESO,FIXE,P5,min,1,XCategory example not tracing,1/24/2001,,,
66,documentation error,Log4j -,Other,m.bogaert,RESO,FIXE,P5,nor,unspe,Documentation error,1/25/2001,,,
67,request input stream return tre,Tomcat 3,Servlet,tomlap,RESO,INVA,P1,blo,3.2.1,request.getInputStream() returns an empty stream(?),1/26/2001,,,
68,modify concrete pattern paint use tile red,Batik -,GVT Filt,vincent.hardy,RESO,FIXE,P1,nor,1.0 B,Modify ConcretePatternPaint to use TileRed and no AOI hint,1/26/2001,,,
69,test bug,Tomcat 3,Unknown,craig.mcclanahan,CLOS,INVA,P1,nor,3.2.x,Test Bug,1/26/2001,,,
71,add css support underline like property,Batik -,Bridge,vincent.hardy,RESO,FIXE,P1,nor,1.0 B,Add CSS support for underline-like properties,1/26/2001,,,
72,final filter package clean,Batik -,GVT Filt,vincent.hardy,RESO,FIXE,P1,nor,1.0 B,Final filter packages clean up,1/26/2001,,,
75,translation time attribute evaluation pro,Tomcat 3,Jasper,mslinn,RESO,LATE,P3,nor,3.2.1,Translation time attribute evaluation not provided to TagExtraInfo class,1/27/2001,,,
77,endless loop port use,Log4j -,Appender,alistair.forbes,RESO,FIXE,P3,blo,1,Endless loop if the port is in use.,1/28/2001,,,
78,http session context bug rat report,Tomcat 3,Unknown,dwd,RESO,INVA,P1,nor,Unkno,HttpSessionContext BugRat Report#41,8/26/2000,,,
79,mod ser miss ser pool bug rat report,Tomcat 3,Connecto,anonymous-bug,RESO,WORK,P1,nor,3.1 F,mod_jserv missing jserv_pool BugRat Report#45,8/28/2000,,,
80,jsp compilation process concurrency safe,Tomcat 3,Jasper,matthias.ernst,RESO,FIXE,P1,nor,3.1 F,Jsp compilation process not concurrency safe BugRat Report#46,8/28/2000,,,
81,ser let api java doc miss bug rat,Tomcat 3,Unknown,geoff,RESO,FIXE,P1,nor,Unkno,Servlet API Javadoc is missing @since BugRat Report#47,8/28/2000,,,
82,jasper affect mod rewrite bug rat repo,Tomcat 3,Connecto,anonymous-bug,RESO,FIXE,P1,nor,3.1 F,Jasper not affected by mod_rewrite BugRat Report#49,8/29/2000,,,
83,function call twice bug rat,Tomcat 3,Jasper,anonymous-bug,RESO,WONT,P1,nor,3.1 F,the init() function may be called twice BugRat Report#50,8/29/2000,[179],83.0,83.0
84,tomcat server start strange char,Tomcat 3,Auth,alex.den.heijer,RESO,INVA,P1,nor,3.1 F,Tomcat server won't start with strange char's in pathname BugRat Report#51,8/30/2000,,,
85,handler thread problem java net socket,Tomcat 3,Connecto,bren,RESO,WONT,P1,nor,3.2.1,HANDLER THREAD PROBLEM: java.net.SocketException: socket closed: Bad file number BugRat Report#53,8/30/2000,,,
86,post datum html form jsp page bug rat,Tomcat 3,Unknown,anonymous-bug,RESO,WORK,P1,nor,3.1 F,POSTing data from HTML form to JSP page BugRat Report#55,8/31/2000,,,
87,request dispatcher violate ser let spec bug ra,Tomcat 3,Servlet,anonymous-bug,RESO,INVA,P1,nor,3.2.x,Request Dispatcher violates Servlet Spec BugRat Report#57,8/31/2000,,,
88,batch file contain unix style old fail,Tomcat 3,Config,anonymous-bug,RESO,FIXE,P5,enh,3.2.x,Batch files containing Unix style EOL fail to run BugRat Report#63,9/1/2000,,,
89,urls change mod rewrite take,Tomcat 3,Connecto,jean-paul_abgrall,RESO,WONT,P1,nor,3.1 F,URLs changed by mod_rewrite are not taken into account by AjpConnectionHandler BugRat Report#64,9/1/2000,,,
90,unable compile class jsp error,Tomcat 3,Jasper,todd,RESO,WORK,P1,nor,3.1 F,Get Unable to compile class for JSPerror: Can't read: JasperException compiling SECOND jsp page BugRat Report#66,9/2/2000,,,
91,response miss setup web ap,Tomcat 3,Servlet,Laurent.Salle,RESO,FIXE,P1,nor,3.2.1,404 response missing for a setup with no webapps/ROOT directory BugRat Report#67,9/4/2000,,,
92,request session fail follow,Tomcat 3,Servlet,lamberto,RESO,FIXE,P1,nor,3.1 F,request.getSession() fails when followed by RequestDispatcher.include() BugRat Report#68,9/5/2000,,,
93,jsp forward fail upper directory refer,Tomcat 3,Jasper,anonymous-bug,RESO,WORK,P1,nor,3.2.1,"jsp:forward fail, if upper Directory is referenced BugRat Report#76",9/7/2000,,,
94,error page work jsp include,Tomcat 3,Jasper,iblesa,RESO,FIXE,P1,nor,3.2.1,ErrorPage does not work when a jsp includes another jsp that throws an exception BugRat Report#78,9/7/2000,,,
95,java task work bug rat report,Ant,Core tas,anand,CLOS,WORK,P1,nor,1.2,"The ""java"" task doesn't work. BugRat Report#85",9/7/2000,,,
96,secure return false https bu,Tomcat 3,Connecto,anand,RESO,WORK,P1,nor,3.2.1,req.isSecure() returns false even for https BugRat Report#86,9/7/2000,,,
97,default ser let define refer,Tomcat 3,Auth,maxom,RESO,INVA,P1,nor,3.1.1,"If 'default servlet' defined, I can't refer to static resources (images, stylesheets) BugRat Report#87",9/8/2000,,,
98,session listener value unbound process,Tomcat 3,Servlet,dev,RESO,INVA,P1,nor,3.2.1,session listener's valueUnbound not processed before removed from session BugRat Report#88,9/8/2000,,,
99,tomcat report memory error bug rat,Tomcat 3,Unknown,stephen.mcgovern,RESO,INVA,P1,nor,Unkno,Tomcat reports 'out of memory error' BugRat Report#89,9/8/2000,,,
100,wild card mapping ser let work thro,Tomcat 3,Connecto,anonymous-bug,RESO,INVA,P1,nor,Unkno,wild card mapping to servlet doesn't work through apache BugRat Report#94,9/8/2000,,,
101,bug jsp application request dispatcher,Tomcat 3,Unknown,cwso7,RESO,INVA,P1,nor,Unkno,"BUG: in JSP, application.getRequestDispatcher always return null BugRat Report#96",9/11/2000,,,
102,decode url necessary bug rat repo,Tomcat 4,Catalina,bei,RESO,FIXE,P1,nor,4.0 B,decoding of URL is never necessary BugRat Report#97,9/11/2000,,,
103,decode url necessary bug rat repo,Tomcat 3,Servlet,bei,RESO,WORK,P1,nor,3.2.1,decoding of URL is never necessary BugRat Report#98,9/11/2000,[104],103.0,103.0
104,add decode description request uri,Tomcat 3,Unknown,bei,RESO,DUPL,P1,nor,Unkno,Add do not decode description to getRequestURI BugRat Report#99,9/11/2000,,103.0,103.0
105,custom tag attribute expression,Tomcat 3,Jasper,pvosbur,RESO,LATE,P1,nor,3.1 F,"custom tag attribute=""<%= someExpression %>""  fails - expression not evaluated BugRat Report#109",9/12/2000,,,
106,entire org apache tomcat util package lock,Tomcat 3,Servlet,anonymous-bug,RESO,WONT,P1,nor,3.2.1,entire org.apache.tomcat.util package locks up under load BugRat Report#110,9/12/2000,,,
107,http ser let request querystring erroneous,Tomcat 3,Servlet,robin_otte,RESO,FIXE,P1,nor,3.2.1,HTTPServletRequest.getQueryString() erroneously returns null BugRat Report#112,9/13/2000,,,
108,mod jk set wrong server bug rat report,Tomcat 3,Config,rde,RESO,FIXE,P1,nor,3.2.x,mod_jk.c sets wrong server_name BugRat Report#114,9/14/2000,,,
109,able run demo jsp page bug rat report,Tomcat 3,Jasper,tomcat-bugs,RESO,INVA,P1,nor,3.2.1,Not able to run demo JSP pages BugRat Report#115,9/14/2000,,,
110,ce support handle correctly bug,Tomcat 3,Unknown,anonymous-bug,RESO,INVA,P1,nor,3.1.1,JCE 1.2.1 support is not handled correctly BugRat Report#116,9/14/2000,,,
111,httpd reload mod jk fail find work,Tomcat 3,Connecto,anonymous-bug,RESO,FIXE,P1,nor,Unkno,after httpd reload mod_jk fails to find a worker BugRat Report#118,9/14/2000,,,
112,tomcat home default bin directory micr,Tomcat 3,Config,anonymous-bug,CLOS,LATE,P1,nor,3.2.1,TOMCAT_HOME defaults to /bin directory on Microsoft Windows BugRat Report#119,9/14/2000,,,
113,different ser let path info behavior,Tomcat 3,Servlet,rob,RESO,FIXE,P1,nor,3.2.1,Different servlet w.r.t. pathInfo behavior w/ & w/o Apache BugRat Report#120,9/14/2000,,,
114,jsp translation problem cause inconsistent,Tomcat 3,Jasper,hartpj,RESO,INVA,P1,nor,3.1 F,JSP Translation problem causing inconsistent <jsp:getProperty> behaviour BugRat Report#121,9/15/2000,,,
115,set path attribute context dir,Tomcat 3,Unknown,alain.zahm,RESO,WONT,P1,nor,3.1 F,"when setting the path attribute of Context directive in server.xml file to jspexamples, keeping examples in docbase, the .conf file generated automatically by tomcat put jspexamples in both alias and target in the Context directive BugRat Report#122",9/15/2000,,,
116,mod jk file linux redefine apache,Tomcat 3,Connecto,pfrieden,RESO,FIXE,P1,nor,3.2 F,mod_jk Makefile.linux always redefines APACHE_HOME BugRat Report#123,9/15/2000,,,
117,illegal state exception error jsp ser le,Tomcat 3,Jasper,camk,RESO,FIXE,P1,nor,3.2.1,IllegalStateException when error in jsp servlet include encountered BugRat Report#124,9/15/2000,,,
118,context params params bug rat,Tomcat 3,Unknown,anonymous-bug,RESO,INVA,P1,nor,Unkno,Context Params Being put in init Params BugRat Report#125,9/15/2000,,,
119,ant execute compile step os bug rat,Ant,Build Pr,st,RESO,WORK,P1,nor,unspe,Ant won't execute compile steps on OS/2 BugRat Report#126,9/16/2000,,,
120,stop tomcat java local host hard code bug,Tomcat 3,Config,anonymous-bug,RESO,FIXE,P1,nor,3.2.x,"StopTomcat.java has ""localhost"" hardcoded BugRat Report#128",9/16/2000,,,
121,fatal error tomcat build bug rat report,Tomcat 3,Servlet,edstrom,RESO,FIXE,P1,nor,3.2.1,fatal error in tomcat build BugRat Report#130,9/17/2000,,,
122,server xml file violate xml namespace rec,Tomcat 3,Config,anonymous-bug,RESO,INVA,P1,nor,3.2.x,server.xml file violates the XML namespace recommendation BugRat Report#131,9/17/2000,,,
123,run jsp cause non stop generate av,Tomcat 3,Jasper,anonymous-bug,RESO,INVA,P1,nor,3.1.1,Running .jsp causes non-stop-generating a .java file until filesystem full BugRat Report#132,9/18/2000,,,
124,class path environment space tomcat,Tomcat 3,Config,anonymous-bug,RESO,WONT,P1,nor,3.1.1,CLASSPATH out of environment space when Tomcat starts up on Windows 95/98 BugRat Report#133,9/18/2000,,,
125,jakarta oro perl regexp class multi line,ORO,Main,jeroen,CLOS,FIXE,P1,nor,Unkno,jakarta-oro (Perl5) regexp classes: MULTILINE_MASK seems to ignore multiline ^ BugRat Report#134,9/18/2000,,,
126,ser let config return ser let config,Tomcat 3,Servlet,Hamer,RESO,INVA,P1,nor,3.2.1,getServletConfig() returns the servletConfig of loading subClass BugRat Report#138,9/19/2000,,,
127,unable set ser let mapping bug ra,Tomcat 3,Servlet,lars.jonsson,RESO,FIXE,P1,nor,3.2.1,Unable to set up servlet mapping '*.x.y' BugRat Report#140,9/20/2000,,,
128,org exo lab slide security false ab,Tomcat 4,Unknown,anonymous-bug,RESO,INVA,P1,nor,Unkno,org.exolab.slide.security=false does not disable security BugRat Report#141,9/20/2000,,,
129,cannon disable display vit ural dire,Tomcat 3,Connecto,dana.ritter,RESO,WONT,P1,nor,3.1.1,Cannont disable the display of a vitural directory and all its subdirectories' contents  in a Tomcat+Apache configuration when the index.html is not present BugRat Report#142,9/20/2000,,,
130,tomcat build bug rat report,Tomcat 3,Config,anonymous-bug,RESO,WONT,P1,nor,3.1.1,Tomcat build BugRat Report#145,9/20/2000,,,
131,session invalidate work properly bug,Tomcat 3,Servlet,anonymous-bug,RESO,FIXE,P1,nor,3.2.1,Session.invalidate() is not work properly. BugRat Report#146,9/21/2000,,,
132,worker find try access jsp,Tomcat 3,Connecto,mikael.andersson,RESO,FIXE,P1,nor,3.2.1,No workers found when trying to access jsp or servlet through mod_jk and apache BugRat Report#148,9/21/2000,,,
133,long file support installation batch,Tomcat 3,Config,aarora,RESO,WONT,P1,nor,3.1.1,Long File Name Support in installation batch files for Windows 32 BugRat Report#149,9/21/2000,,,
134,file descriptor leak adaptive class loader bu,Tomcat 3,Servlet,bartlejd,RESO,FIXE,P1,nor,3.2.1,file descriptor leak in AdaptiveClassLoader BugRat Report#150,9/21/2000,[316],134.0,134.0
135,response reason return client http,Tomcat 3,Servlet,mriehm,RESO,FIXE,P1,nor,3.2.1,Response reason not returned to client in HTTP response for JSP page BugRat Report#151,9/21/2000,,,
136,infinite loop prefix manager java bug rat rep,Tomcat 3,Unknown,anonymous-bug,CLOS,LATE,P1,nor,3.2 F,Infinite loop in PrefixManager.java BugRat Report#152,9/21/2000,[535],136.0,136.0
137,tomcat bat fail switch pat,Tomcat 3,Unknown,anonymous-bug,RESO,FIXE,P1,nor,Unkno,tomcat.bat fails with the -f switch and no path BugRat Report#153,9/21/2000,,,
138,attribute setting ignore server xml bug ra,Tomcat 3,Unknown,anonymous-bug,RESO,FIXE,P1,nor,Unkno,attribute settings ignored in server.xml BugRat Report#155,9/21/2000,,,
139,web xml file wrong accept,Tomcat 3,Unknown,pgarduno,RESO,FIXE,P1,nor,Unkno,WEB.XML file is wrong but still accepted by Tomcat BugRat Report#156,9/22/2000,,,
140,js px handle thread safe bug ra,Tomcat 3,Jasper,tom,RESO,FIXE,P1,nor,3.1 F,_jspx_init() handling is not thread safe BugRat Report#157,9/22/2000,,,
141,directory directive ignore bug rat rep,Tomcat 3,Connecto,kumar,RESO,INVA,P1,nor,3.1.1,Directory directive being ignored BugRat Report#159,9/24/2000,,,
142,feature forward request request disp,Tomcat 3,Servlet,joe,RESO,WONT,P1,nor,3.1.1,Feature to forward requests using request dispatcher even if the servlet input stream is empty BugRat Report#161,9/25/2000,,,
143,tag handler property type object,Tomcat 3,Jasper,katkere,RESO,LATE,P1,nor,3.2 F,"Tag handlers with properties of type ""Object"" BugRat Report#162",9/25/2000,,,
144,jsp file name null append wh,Tomcat 3,Servlet,janice.champion,RESO,FIXE,P1,nor,3.2.1,JSP file names have 'null' appended to them when defined in web.xml BugRat Report#164,9/25/2000,[145],144.0,144.0
145,update jsp file name null append,Tomcat 3,Config,janice.champion,RESO,DUPL,P1,nor,3.1 F,Update to JSP file names have 'null' appended to them when defined in web.xml BugRat Report#165,9/25/2000,,144.0,144.0
146,tomcat use class inappropriate la,Tomcat 3,Servlet,rbeaubie,RESO,FIXE,P1,nor,3.2.1,Tomcat 3.1 uses classes from inappropriate classpath BugRat Report#170,9/27/2000,,,
147,mime type longer read conf web xml bu,Tomcat 3,Config,marc,RESO,INVA,P1,nor,3.2.1,MIME types no longer read from conf/web.xml BugRat Report#171,9/27/2000,[350],147.0,147.0
148,include function properly cy,Tomcat 3,Jasper,anonymous-bug,RESO,FIXE,P1,nor,3.2.1,"<%@ include %> does not function properly, cycle detection incorrect? BugRat Report#173",9/27/2000,,,
149,tomcat log file open append,Tomcat 3,Servlet,tom,RESO,LATE,P1,nor,3.2.1,Tomcat log files should be opened for append BugRat Report#174,9/27/2000,,,
150,value unbound get call server shut,Tomcat 3,Servlet,michaelm,RESO,FIXE,P1,nor,3.2 F,valueUnbound not getting called on server shutdown BugRat Report#175,9/27/2000,,,
151,auto loading jar file lib directory,Tomcat 3,Config,mitchelld,RESO,WONT,P1,nor,3.2.1,Auto loading jar files from the lib directory BugRat Report#178,9/28/2000,,,
152,invalidate method value method,Tomcat 3,Jasper,anonymous-bug,RESO,FIXE,P1,nor,3.2.1,invalidate method and putValue method do not cooperate BugRat Report#182,9/29/2000,,,
153,support web logic rmi compiler ant bug rat,Ant,Optional,kselden,CLOS,LATE,P1,enh,unspe,Support Weblogic RMI compiler in Ant BugRat Report#183,9/29/2000,,,
154,set modify result,Tomcat 3,Servlet,kientzle,RESO,FIXE,P1,nor,3.3.x,Setting Last-Modified within doGet results in duplicate Last-Modified headers BugRat Report#185,9/29/2000,,,
155,quick blurb say initialize,Tomcat 3,Config,rimovm,RESO,WONT,P1,nor,3.2.1,"Quick Blurb saying ""Everything is initialized"" BugRat Report#186",9/30/2000,,,
156,cast exception ser let wrapper service bug,Tomcat 3,Servlet,mbalcom,RESO,INVA,P1,nor,3.2.1,cast exception in servletWrapper.service. BugRat Report#188,10/1/2000,,,
157,class loader search order bug rat report,Tomcat 3,Servlet,mbalcom,RESO,FIXE,P1,nor,3.2.1,Classloader search order. BugRat Report#189,10/1/2000,,,
158,un compi able source jakarta tomcat bug rat,Tomcat 3,Servlet,anonymous-bug,RESO,FIXE,P1,nor,3.2.1,"Uncompilable source, Jakarta-Tomcat 3.1 BugRat Report#190",10/2/2000,,,
159,xml jar parser jar incompatible late,Tomcat 3,Jasper,marcm,RESO,FIXE,P1,nor,3.2.1,xml.jar or parser.jar incompatible with latest Xerces parser BugRat Report#191,10/2/2000,,,
160,request request session tur,Tomcat 3,Servlet,richard,RESO,FIXE,P1,nor,3.2.1,request.getRequestedSessionId() does not return session ID requested by client BugRat Report#192,10/3/2000,[1038],160.0,160.0
161,post data mod jk give,Tomcat 3,Connecto,mikeb,RESO,FIXE,P1,nor,3.2.1,POST of more than 8k of data via mod_jk gives ArrayIndexOutOfBounds BugRat Report#194,10/3/2000,,,
162,apache load apache module ser start,Tomcat 3,Unknown,dev,RESO,WORK,P1,nor,Unkno,Apache cannot load ApacheModuleJServ at startup BugRat Report#195,10/3/2000,,,
163,update archive bug rat report,Ant,Other,dev,RESO,FIXE,P1,nor,unspe,Update archive BugRat Report#203,10/4/2000,,,
164,log bug rat report,Tomcat 3,Connecto,beem_r,CLOS,LATE,P1,nor,3.2.1,IIS Logging BugRat Report#210,10/4/2000,,,
165,unable mic compile inner class,Ant,Core tas,anonymous-bug,CLOS,WORK,P1,cri,unspe,Unable to rmic (compile) inner classes using the '$' notation. BugRat Report#211,10/4/2000,,,
166,conf wrapper property lack jar desc,Tomcat 3,Servlet,akimoto,CLOS,LATE,P1,nor,3.2.1,conf/wrapper.properties seems to lack jar descriptions BugRat Report#217,10/5/2000,,,
167,change input check box tag lib usage,Taglibs,Input Ta,augustd,CLOS,WONT,P1,nor,unspe,Change to input:checkbox taglib for usage on multi-page forms BugRat Report#220,10/5/2000,,,
168,ability represent argument hierarchy,Ant,Other,dev,RESO,FIXE,P1,nor,unspe,Ability to represent arguments as a hierarchy of arglist/args BugRat Report#222,10/6/2000,,,
169,overflow jsp tag embed html tag bu,Tomcat 3,Jasper,dlynes1,RESO,INVA,P1,nor,3.1.1,Overflow where JSP tag embedded in HTML tag BugRat Report#226,10/7/2000,,,
170,reproduce know work,Tomcat 3,Unknown,dlynes1,RESO,INVA,P1,nor,Unkno,How to reproduce and Known work around doesn't get submitted BugRat Report#228,10/7/2000,,,
171,auto fer doc base info server xml,Tomcat 3,Config,nasirnoor,RESO,FIXE,P1,nor,3.1.1,Auto xfer of DocBase info from server.xml to tomcat-apache.conf is not accurate BugRat Report#229,10/8/2000,,,
172,windows crash bsod set tomcat,Tomcat 3,Servlet,carfield,RESO,INVA,P1,nor,3.2.1,"Windows crash (BSOD), setting is: Tomcat 3.1 + Apache 1.3.9 + Win2k sp1 BugRat Report#230",10/9/2000,,,
173,ant java doc tag require de st dir java doc,Ant,Other,dev,RESO,FIXE,P1,nor,1.1,"ANT javadoc tag requires ""destdir"" but javadoc does not BugRat Report#235",10/9/2000,,,
174,apache service fail bug rat report,Tomcat 3,Servlet,tigran,RESO,INVA,P1,nor,3.2.1,Apache Service fails BugRat Report#237,10/9/2000,,,
175,ser let exception lack root cause bug rat repo,Tomcat 3,Servlet,ccox,RESO,FIXE,P1,nor,3.2.1,ServletExceptions lack root causes BugRat Report#238,10/9/2000,,,
176,add exclude capability java doc bug rat rep,Ant,Core tas,anonymous-bug,CLOS,FIXE,P1,enh,1.3,"Add ""exclude"" capability to Javadoc BugRat Report#243",10/10/2000,,,
177,race condition ser let initialization,Tomcat 3,Servlet,gwright,RESO,FIXE,P1,maj,3.2.1,Race condition during servlet initialization BugRat Report#244,10/11/2000,,,
178,parse jsp use bean robust bug rat,Tomcat 3,Jasper,mmanion,RESO,INVA,P1,nor,3.2.1,parsing of jsp:useBean is not robust BugRat Report#245,10/11/2000,,,
179,duplicate bug bug rat report,Tomcat 3,Unknown,dev,RESO,DUPL,P1,nor,Unkno,Duplicate of bug #83 BugRat Report#248,10/12/2000,,83.0,83.0
180,redirection problem bug rat report,Tomcat 3,Unknown,anonymous-bug,RESO,WORK,P1,nor,Unkno,redirection problem BugRat Report#249,10/12/2000,,,
181,wrong link jsp example index page bug rat,Tomcat 3,Unknown,dev,RESO,FIXE,P1,nor,Unkno,Wrong links in JSP examples index page BugRat Report#252,10/12/2000,,,
182,jsp error page work virtual host,Tomcat 3,Config,mikeb,RESO,FIXE,P1,nor,3.2.1,JSP error-page doesn't work with virtual hosts BugRat Report#253,10/12/2000,,,
183,session create bug rat report,Tomcat 3,Servlet,anonymous-bug,RESO,INVA,P1,nor,3.2.1,no Session create BugRat Report#256,10/12/2000,,,
184,jsp sub directory mc,Tomcat 3,Unknown,anonymous-bug,RESO,FIXE,P1,nor,Unkno,"when I put my jsp in many subdirectories, tomcat can't generate the .java and it violates. BugRat Report#259",10/13/2000,,,
185,null pointer exception jd bc realm bug rat rep,Tomcat 3,Auth,dev,RESO,FIXE,P1,nor,3.2.1,Null pointer exception in jdbcRealm BugRat Report#263,10/14/2000,,,
186,ser let return hebrew character bug ra,Tomcat 3,Servlet,anonymous-bug,RESO,INVA,P1,nor,3.2.1,Servlet doesn't return hebrew characters BugRat Report#267,10/14/2000,,,
187,post variable unavailable post,Tomcat 3,Unknown,dev,RESO,FIXE,P1,nor,Unkno,POST variables unavailable when posted from a Phone.com WAP phone BugRat Report#270,10/15/2000,,,
188,catalina null pointer exception mau,Tomcat 4,Unknown,dev,RESO,FIXE,P1,nor,Unkno,Catalina: Null pointer exception in FormAuthenticator BugRat Report#273,10/16/2000,,,
189,session bug rat report,Tomcat 3,Jasper,tomcat-bugs,RESO,WORK,P1,nor,3.2.1,Session BugRat Report#275,10/18/2000,,,
190,index property setter call,Tomcat 3,Jasper,anonymous-bug,RESO,WONT,P1,nor,3.1.1,Indexed property setter does not get called if first field in array of fields is blank BugRat Report#277,10/18/2000,,,
192,jsp exception handling include action bu,Tomcat 3,Jasper,anonymous-bug,RESO,FIXE,P1,nor,3.2 F,JSP exception handling after include action BugRat Report#279,10/19/2000,,,
193,write ser let add web app map,Tomcat 3,Unknown,dev,RESO,WORK,P1,nor,Unkno,Write a servlet and add it to a web app.  Map wild card with an extension to that servlet then address a file with that extension from the browser.  Going directly to tomcat will cause the servlet to invoke.  Going through Apache won't work. BugRat Rep...,10/19/2000,,,
194,trail slash parameter value,Tomcat 3,Servlet,anonymous-bug,RESO,FIXE,P1,nor,3.2.1,Trailing slash in init parameter value seems to disappear BugRat Report#282,10/19/2000,,,
195,cache ser let parameter work lo,Tomcat 3,Unknown,dev,RESO,INVA,P1,nor,Unkno,nocache servlet parameter doesn't work w/no locale specified BugRat Report#283,10/20/2000,,,
196,war de ply ment enhancement bug rat report,Tomcat 3,Config,anonymous-bug,RESO,FIXE,P1,enh,3.2.1,WAR deplyment enhancement BugRat Report#290,10/20/2000,,,
198,exception throw bug rat report,Tomcat 3,Servlet,anonymous-bug,RESO,INVA,P1,nor,3.2.1,Exception below thrown BugRat Report#300,10/23/2000,,,
199,attempt use attribute tag lib cause err,Tomcat 3,Jasper,clark.richey,RESO,FIXE,P1,nor,3.2.1,attempt to use attributes in taglib causes errors BugRat Report#302,10/24/2000,,,
200,include work bug rat report,Tomcat 3,Jasper,anonymous-bug,RESO,FIXE,P1,nor,3.2.1,<%@ include .... %> doesn't work BugRat Report#305,10/24/2000,,,
201,http session invalidate frequently bu,Tomcat 3,Servlet,david.dwyer,RESO,WORK,P1,nor,3.1.1,http session is invalidated too frequently. BugRat Report#310,10/26/2000,,,
